Category,Code,Strength,Ideal Criteria for Prediction,Columns in VCF,
Population,BA1,Very Strong (B),Freq_gnomAD_genome_ALL > 0.05,Freq_gnomAD_genome_ALL / InterVar: InterVar and Evidence,
Population,BS1,Strong (B),Freq_gnomAD > disease-specific threshold,Freq_gnomAD_genome_ALL / InterVar: InterVar and Evidence,
Population,BS2,Strong (B),Presence in large curated healthy adult cohorts,Freq_gnomAD_genome_ALL / InterVar: InterVar and Evidence,
Population,PM2,Moderate (P),Freq_gnomAD_genome_ALL is 0 or missing,Freq_gnomAD_genome_ALL / InterVar: InterVar and Evidence,
Population,PS4,Strong (P),Odds Ratio (OR) > 5.0 (p-value < 0.05) in case-control,,Literature Study Required
,,,,,
Computational,PVS1,Very Strong (P),ExonicFunc = stopgain/frameshift in LOF gene,"ExonicFunc.refGene, Func.refGene, OMIM / InterVar",
Computational,PS1,Strong (P),AAChange matches a known Pathogenic variant,"AAChange.refGene, clinvar: Clinvar / InterVar",
Computational,PM4,Moderate (P),In-frame deletion/insertion in non-repeat region,ExonicFunc.refGene AND rmsk (Must be empty),
Computational,PM5,Moderate (P),AA residue matches ClinVar P (different change),"AAChange.refGene, clinvar: Clinvar / InterVar",
Computational,PP3,Supporting (P),CADD > 20 / SIFT < 0.05 (Agreement),"CADD_phred, SIFT_score, MetaSVM_score, phyloP46way_placental",
Computational,BP4,Supporting (B),CADD < 10 / SIFT > 0.05 (Agreement),"CADD_phred, SIFT_score, MetaSVM_score, phyloP46way_placental",
Computational,BP7,Supporting (B),ExonicFunc = synonymous (silent) variant,"ExonicFunc.refGene, GERP++_RS, dbscSNV_ADA_SCORE",
Computational,BP1,Supporting (B),Gene where missense is NOT a known disease cause,"OMIM, Phenotype_MIM / Mutation_Spectrum metadat",
,,,,,
Functional,PS3,Strong (P),Functional_Assay_Result = Damaging,,Literature study required
Functional,BS3,Strong (B),Functional_Assay_Result = Neutral,,Literature study required
Functional,PM1,Moderate (P),Interpro_domain is non-empty (functional domain),Interpro_domain / InterVar: InterVar and Evidence,
Functional,PP2,Supporting (P),Missense Z-score > 3.0 (Low benign missense rate),,Missense_Constraint metrics (May be flagged in InterVar)
,,,,,
Segregation,PP1,Supporting (P),At least 3 affected family members with variant,,Clinical_Pedigree Required
Segregation,BS4,Strong (B),Unaffected relative carries the variant,,Clinical_Pedigree  Required
,,,,,
De novo,PS2,Strong (P),Zygosity = Het (Confirmed paternity/maternity),Otherinfo (for Het) + Parental_Zygosity (Confirmed),
De novo,PM6,Moderate (P),Zygosity = Het (Assumed de novo),Otherinfo (for Het) + Parental_Zygosity (Assumed),
,,,,,
Allelic Data,PM3,Moderate (P),Detected in trans with a known pathogenic variant,Otherinfo (for Zygosity) + Phasing_Information,
Allelic Data,BP2,Supporting (B),Detected in cis with a pathogenic variant,Otherinfo (for Zygosity) + Phasing_Information,
,,,,,
Other DB,PP5,Supporting (P),clinvar: Clinvar = Pathogenic (Reputable source) AND ClinVar_Review_Status > 1 star,clinvar: Clinvar / InterVar: InterVar and Evidence,
Other DB,BP6,Supporting (B),clinvar: Clinvar = Benign (Reputable source)AND ClinVar_Review_Status > 1 star,clinvar: Clinvar / InterVar: InterVar and Evidence,
,,,,,
Other Data,PP4,Supporting (P),HPO_Terms matches gene phenotype exactly,,"OMIM, Phenotype_MIM, Orpha / Patient_Clinical_Terms"
Other Data,BP5,Supporting (B),Alternate variant found explaining phenotype,,Clinical_Report Manual
Other Data,BP3,Supporting (B),In-frame indel in repetitive region,ExonicFunc.refGene AND rmsk (Must match a repeat),
